id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4579288169579955,JxgE8Ecbp,#进击的巨人最终季#能在被全面封禁的状态下再度冲上热搜的也只有我大巨人了吧作为一个第一季出来就开始追的老粉真的泪目三连，巨人必将名垂青史 ,,,,,2020-12-07,nova5 人像超级夜景,2060,151,17,进击的巨人最终季,
4579785278492862,JxtzVzDnE,#进击的巨人最终季# 多少年前的青春啊终于迎来最终季 #第一季第二季第三季第四季# 都不舍得看完全部。。。看完了真的青春也就结束了。。。回不来的就再也回不来了，熟肉平仑🈶️ ,,,,,2020-12-08,iPhone客户端,2054,57,27,"进击的巨人最终季,第一季第二季第三季第四季",
4580029238876161,JxzVpBf5T,以你的心诠释我的爱今日开机，进击的巨人第四季12集有了！！！ 幸福来得太突然了吧嘎嘎嘎 #进击的巨人##进击的巨人最终季# 。想看先 ！！！ ，来看评！！！ ,,,,,2020-12-09,iPhone客户端,1,1,0,"进击的巨人,进击的巨人最终季",
4580025677906781,JxzPFxaUJ,看完巨人最终季熟肉觉得真的超出预期了，也逐渐适应了新制作的画风，一直都维持水平，巨人第四季全集就可以封神了#进击的巨人# 看平仑区 #进击的巨人最终季# #进击的巨人 第四季# ,,,,,2020-12-09,iPhone客户端,1,1,0,"进击的巨人,进击的巨人最终季,进击的巨人 第四季",
4579991788465296,JxyX0zwd2,#进击的巨人最终季# 感觉可以从第一季开始重新追一遍了… ,,,,,2020-12-08,nova5Pro人像超级夜景,0,0,0,进击的巨人最终季,
4579991105046223,JxyVUlaKH,吗的 好后悔追了巨人漫画 对剧情不怎么期待 唯一期待就是画风和画面夸张效果#进击的巨人最终季# ,,,,,2020-12-08,iPhone客户端,1,0,0,进击的巨人最终季,
4579988953380135,JxySrebkj,#进击的巨人最终季# 霸权番+神番的一部作品转眼大结局只希望兵长平安 ,,,,,2020-12-08,六元老婆iPhone客户端,0,0,0,进击的巨人最终季,
4579985468428639,JxyMOzmFN,#进击的巨人最终季#  第一集可真致郁啊 咒术最新两集也么好到哪里去 ,,,,,2020-12-08,低空飞行的iPhone 11,0,1,0,进击的巨人最终季,
4579980682208835,JxyF69gCn,#进击的巨人最终季#青春终于要结束了🔚感慨，感激，感动 ,,,,,2020-12-08,iPhone客户端,0,0,0,进击的巨人最终季,
4579974336480128,JxyuRrbMc,#进击的巨人最终季#终于来了，得连着一起再看一遍，很怀念高三在教室看的时光。 ,,,,,2020-12-08,iPhone客户端,0,0,0,进击的巨人最终季,
4579958447939058,Jxy5exjjk,#进击的巨人最终季# 天呐，跟着海贼王拖了这么久，最新一集的进击的巨人简直是封神之作 ,,,,,2020-12-08,HUAWEI P20,1,0,0,进击的巨人最终季,
4579898327047309,Jxwwgtzkh,#进击的巨人最终季#第四季终于来了，这两天把第一部，第二部，第三部重新看了一遍，热血沸腾，一起来看看最终偏，熟肉已经在下面热好了 ,,,,,2020-12-08,iPhone客户端,26,1,24,进击的巨人最终季,
4579849790299135,JxvfZ1fOL,#进击的巨人最终季#第一季很好看，战争就是这样无情吧。等待着被从飞机投掷而下的“敢死队”，被无智商巨人生物兵器恐吓着的敌军，一边利用着巨人之力、一边鄙视着巨人之族的马莱，想要改善自己同胞待遇的贾碧……#MAPPA#没让我失望，真的很期待后续 ,,,,,2020-12-08,Share微博客户端,1,0,0,"进击的巨人最终季,MAPPA",
4579845419303911,Jxv8VD2n5,#进击的巨人最终季#好激动啊我的利威尔要回来了啊啊啊啊啊，哭惹 ,,,,,2020-12-08,Android,4,6,0,进击的巨人最终季,
4579843981711499,Jxv6C7beP,#进击的巨人最终季# 怎么说呢，马趴是用心了的，同期还负责咒术，加上又是巨人这么大的ip，对于漫画党而言要求真的不高， 按照作者的说法大概 136话巨人完结，只希望谏山老贼少发点刀，千万千万千万千万不要烂尾（虽然这是不可能的事） ,,,,,2020-12-08,iPhone客户端,1,1,0,进击的巨人最终季,
4579843138659069,Jxv5fAkCp,#进击的巨人最终季# 有生之年系列。高中开始看到现在 ,,,,,2020-12-08,荣耀Magic2 魔法手机,0,0,0,进击的巨人最终季,
4579838998614019,JxuYzA8TN,#进击的巨人最终季#啊啊啊啊啊啊啊啊啊啊😭😭😭😭😭看完第一集太震撼了，整个人鸡皮疙瘩都起来了进巨，yyds ,,,,,2020-12-08,HUAWEI P20,2,4,0,进击的巨人最终季,
4579835383387721,JxuSKediF,#鬼灭之刃 无限列车篇##进击的巨人##进击的巨人最终季# 两个一起出来了，终于看完啦，好开心，看剧找她@爱追剧的小粥粥 ，没要💰 ,,,,,2020-12-08,iPhone客户端,0,3,0,"鬼灭之刃 无限列车篇,进击的巨人,进击的巨人最终季",爱追剧的小粥粥
4579831745880620,JxuMSoFOI,#进击的巨人最终季#虽然第三季还没看完 但是还是好期待第四季！ ,,,,,2020-12-08,姐姐崽崽的iPhone SE,0,2,0,进击的巨人最终季,
4579803871583757,Jxu3V6E0t,#进击的巨人最终季# 多少年前的青春啊我们终于迎来了最终季，我要一次性看完 #第一季第二季第三季第四季# 一起去看吧熟肉平仑🈶️ ,,,,,2020-12-08,vivo Y7s 屏幕指纹,1111,21,61,"进击的巨人最终季,第一季第二季第三季第四季",
4579794680812578,JxtP63po6,巨人走在了不良人和无限列车的前面#进击的巨人最终季# ,,,,,2020-12-08,iPhone客户端,2,0,0,进击的巨人最终季,
4579787597422270,JxtDFv8S2,#进击的巨人最终季#第一集就让我明白了，原来人肉冲击还可以这样玩 马莱 ,,,,,2020-12-08,Redmi Note 8四摄,11,2,0,进击的巨人最终季,
4579787555998055,JxtDBpamP,#进击的巨人最终季#第一集就这么强的嘛视角对换真的太妙了，真真无正义皆立场 ,,,,,2020-12-08,HUAWEI P30,2,0,0,进击的巨人最终季,
4579786086683540,JxtBes2H2,#进击的巨人最终季#周末抽时间把一二三全部重新看了一遍 要不然就感觉没那么激情了 ,,,,,2020-12-08,HUAWEI nova 3e,0,0,0,进击的巨人最终季,
4579785575760107,JxtApoasX,#进击的巨人最终季# 呜呜我最爱的兵长！一二季我都快忘了，又该重温了 ,,,,,2020-12-08,可可爱爱iPhone客户端,3,2,0,进击的巨人最终季,
4579776238985648,JxtllBHzO,#进击的巨人最终季#看起来看起来!呜呜呜，居然到了最终季 ,,,,,2020-12-08,HUAWEI nova 2s,0,0,0,进击的巨人最终季,
4579476974874527,JxlyFks5p,#进击的巨人最终季#呜呜，终于等到了进击的巨人第四季，七年了，攻守互换，墙内的人终于来到墙外，看见了世界，是时候给一切画上句号了，又重温了第一季第二季第三季，真的是我最爱的动漫了 ,,,,,2020-12-07,OPPO超视野全面屏R15,1501,50,26,进击的巨人最终季,
4579746388117739,Jxszcy3Nh,#进击的巨人最终季# 终于开播了，第一集就被激烈的战争场面给震撼到，不愧是当今最顶级制作水准的动漫。单是配乐就可比肩入围奥斯卡的电影水平。只有惊叹！值得珍惜、细品这最终季的每一集 ,,,,,2020-12-08,新版微博 weibo.com,0,3,0,进击的巨人最终季,
4579686464619864,Jxr0yjnPW,大一至现在希望利威尔结局是好的♥️#进击的巨人最终季# ,,,,,2020-12-08,,6,2,0,进击的巨人最终季,
4579670810953919,JxqBj409N,#进击的巨人最终季#我靠，我爽了我爽了，第一集就有被爽到 ,,,,,2020-12-08,iPhone客户端,4,2,0,进击的巨人最终季,
4579665757339922,Jxqt9uNrQ,#进击的巨人最终季#致两千年后的你，我永远无法忘记这一幕伏笔揭开时那种震撼我妈的懵逼和膝盖软了的感觉 ,,,,,2020-12-08,iPhone客户端,10,2,1,进击的巨人最终季,
4579664562228127,Jxqre9lDx,#进击的巨人最终季#好狠，顶风作案，这是多少人的青春啊！最后一季完完整整放完，墙别封太死plz ,,,,,2020-12-08,iPhone客户端,3,0,0,进击的巨人最终季,
4579663928364751,Jxqqcz63l,#进击的巨人最终季# 又上热搜了！可我还不知道哪里可以看呢！啊啊啊啊啊啊啊啊啊 ,,,,,2020-12-08,HUAWEI Mate 20 Pro,3,6,0,进击的巨人最终季,
4579663329104603,JxqpeCcwr,#进击的巨人最终季#哇啊啊啊  终于等到进击的巨人第四季了  爷青回！！！  ,,,,,2020-12-08,全屏双摄 OPPO A5,3,2,0,进击的巨人最终季,
4579661223564318,JxqlQeXf0,#进击的巨人最终季#媲美钢炼的神仙番，它lei了 ,,,,,2020-12-08,iPhone 8 Plus,0,1,0,进击的巨人最终季,
4579650325448390,Jxq4gmRng,#进击的巨人最终季#嗷嗷嗷，明天看起来～兵长我来啦～艾导我来啦～开心🥳 ,,,,,2020-12-08,iPhone客户端,2,0,0,进击的巨人最终季,
4579648669229760,Jxq1ACJ56,#进击的巨人最终季#我不管我不管等我考完研我要从第一季重新看一百遍 当初高一那个丑丑的兵长手办还有特意从日本带回来的链子还锁我杂物柜呢我 想看！此时此刻！ ,,,,,2020-12-07,HUAWEI P20 Pro,7,8,0,进击的巨人最终季,
4579645360447154,JxpWg1Ska,#进击的巨人最终季#爷青结 一上来直接大场面 绝了绝了 ,,,,,2020-12-07,vivo X27 4800万三摄,3,0,0,进击的巨人最终季,
4579642180109572,JxpR80svi,进击的巨人最终季！爷的青春即将含泪完结？！#进击的巨人最终季# ,,,,,2020-12-07,iPhone客户端,1,0,0,进击的巨人最终季,
4579641996873257,JxpQPsQ2Z,#进击的巨人最终季# 看完最终季第一集谁不大喊一声jjdjryyds！ ,,,,,2020-12-07,iPhone客户端,7,1,0,进击的巨人最终季,
4579636934351501,JxpIFig1v,看不到巨人最终季 爷很难过 更难过的是 连个图都发不出来#进击的巨人##进击的巨人最终季# ,,,,,2020-12-07,微博国际版,7,6,0,"进击的巨人,进击的巨人最终季",
4579630806207938,JxpyMq2Y2,进击的巨人超话#进击的巨人最终季# 看完有点懵可能还需要理一下剧情😂这是四年后了？ ,,,,,2020-12-07,进击的巨人超话,4,7,0,进击的巨人最终季,
4579630718138993,JxpyDy9k5,#进击的巨人最终季#虽然看得一脸懵逼 但是好燃本来好担心换了制作公司会不好看来着 ,,,,,2020-12-07,nova 5i Pro,1,4,0,进击的巨人最终季,
4579629271097124,Jxpwj4Bpy,#进击的巨人最终季# 看得我一脸懵逼感觉自己是不是少看了一季原来是讲海那边的故事，据说一路看下去还要继续懵逼好几集，是上一季结尾猿之巨人还有莱纳逃走以后四年后的故事了 ,,,,,2020-12-07,iPhone客户端,2,11,0,进击的巨人最终季,
4579625424915929,Jxpq6kCRb,#进击的巨人最终季#认真的看完第一话，emmmm，贾碧这个碧池，她该死！第一集都是铺垫有点慢。也别想献出心脏了，无悔的选择也成笑话了，致2000年后的你毁灭人类！一起假嗨～💣 ,,,,,2020-12-07,iPhone客户端,3,7,0,进击的巨人最终季,
4579607175767035,JxoWFocgH,#进击的巨人最终季#我晕了 我为什么看不懂 啥啊  我只记得当时买的漫画 看到了发现墙是巨人做的那里🆘啥啊这都啥展开 ,,,,,2020-12-07,iPhone XR,1,5,0,进击的巨人最终季,
4579605295934612,JxoTDoTRy,#进击的巨人最终季#啊啊啊啊啊啊啊啊第一集就好震撼啊！虽然好多生面孔，但是好震撼啊，新出场的这只颚巨好帅，期待十九伦啊啊啊啊啊啊啊啊啊啊啊啊！ ,,,,,2020-12-07,nova7你在焦点在,0,0,0,进击的巨人最终季,
4579605236694439,JxoTxs5wP,#进击的巨人最终季# 特别喜欢op今天上班循环了好久（网易云bgm版）阴不阴间我不知道，我只知道很上脑 ,,,,,2020-12-07,iPhone客户端,2,9,0,进击的巨人最终季,
4579603186455138,JxoQer5h8,#进击的巨人##进击的巨人最终季# 《进击的巨人第四季》‼️ 在艾伦他们居住的帕拉迪岛之外，还存在一个其他人类居住的世界。1-3季百度☁️我都看完了哦～抓紧时间一起来看吧！ ,,,,,2020-12-07,OPPO Reno4 SE 5G,0,0,0,"进击的巨人,进击的巨人最终季",
4579600825329551,JxoMqmmsv,#进击的巨人最终季# 还是以前的味道！第一集直接炸场！ ,,,,,2020-12-07,三星Galaxy S10,2,3,0,进击的巨人最终季,
4579599788805301,JxoKKAWEZ,我只想大喊一声巨人牛B！等了这么久，巨人最终话终于更新，虽然第一集开头全是新角色。“贾碧”听着比较熟悉（不看漫画），一去查，竟然是杀莎夏的人？气死老子了！对于贾碧的争议还是蛮大的，特别是听说漫画后面死的死伤的伤，还是希望动画给个好结局吧。#进击的巨人最终季##进击的巨人# ,,,,,2020-12-07,荣耀V20 4800万3D相机,3,0,0,"进击的巨人最终季,进击的巨人",
4579589689184029,JxousCxbv,#进击的巨人最终季#好家伙第一集看得我以为自己看落一季还好还好，后面看懂了最终季了，我的铁三角一定要稳稳的！ ,,,,,2020-12-07,,4,4,0,进击的巨人最终季,
